km,date,day,month,year,group,area
57.4,16/3/2000,16,3,2000,nema,south
48.7,24/3/2000,24,3,2000,nema,south
59.4,19/4/2000,19,4,2000,nema,south
50.4,24/4/2000,24,4,2000,nema,south
60,12/5/00,12,5,2000,nema,south
60.1,12/5/00,12,5,2000,nema,south
59,14/6/2000,14,6,2000,nema,south
49.6,14/6/2000,14,6,2000,nema,south
66.3,8/7/00,8,7,2000,nema,south
53.3,24/7/2000,24,7,2000,nema,south
33,21/10/2000,21,10,2000,nema,south
16,7/12/00,7,12,2000,nema,south
212,4/4/01,4,4,2001,nema,south
403,25/4/2001,25,4,2001,nema,south
225,7/5/01,7,5,2001,nema,south
398,28/5/2001,28,5,2001,nema,south
223,11/6/01,11,6,2001,nema,south
404,26/6/2001,26,6,2001,nema,south
226,9/7/01,9,7,2001,nema,south
393,23/7/2001,23,7,2001,nema,south
142,25/8/2001,25,8,2001,nema,south
142,30/8/2001,30,8,2001,nema,south
130,24/9/2001,24,9,2001,nema,south
134,24/9/2001,24,9,2001,nema,south
212,24/10/2001,24,10,2001,nema,south
396,27/10/2001,27,10,2001,nema,south
217,14/11/2001,14,11,2001,nema,south
408.9,27/11/2001,27,11,2001,nema,south
399.7,13/12/2001,13,12,2001,nema,south
101,30/12/2001,30,12,2001,nema,south
137,11/1/02,11,1,2002,nema,south
224.2,25/1/2002,25,1,2002,nema,south
221.2,23/2/2002,23,2,2002,nema,south
135,26/2/2002,26,2,2002,nema,south
218.4,15/3/2002,15,3,2002,nema,south
257.5,26/3/2002,26,3,2002,nema,south
224,14/5/2002,14,5,2002,nema,south
138,17/5/2002,17,5,2002,nema,south
86,15/6/2002,15,6,2002,nema,south
22,18/6/2002,18,6,2002,nema,south
216,18/7/2002,18,7,2002,nema,south
135,26/7/2002,26,7,2002,nema,south
205,13/9/2002,13,9,2002,nema,south
219.5,25/9/2002,25,9,2002,nema,south
223.2,8/11/02,8,11,2002,nema,south
364,22/11/2002,22,11,2002,nema,south
50.5,6/12/02,6,12,2002,nema,south
64.2,13/12/2002,13,12,2002,nema,south
131.4,3/1/03,3,1,2003,nema,south
207,17/1/2003,17,1,2003,nema,south
64,25/2/2003,25,2,2003,nema,south
50,26/2/2003,26,2,2003,nema,south
70,14/3/2003,14,3,2003,nema,south
49.7,18/3/2003,18,3,2003,nema,south
57.7,9/4/03,9,4,2003,nema,south
48,28/4/2003,28,4,2003,nema,south
35,26/5/2003,26,5,2003,nema,south
49,27/5/2003,27,5,2003,nema,south
64,24/6/2003,24,6,2003,nema,south
49.4,24/6/2003,24,6,2003,nema,south
63,27/7/2003,27,7,2003,nema,south
49.7,30/7/2003,30,7,2003,nema,south
64.1,21/8/2003,21,8,2003,nema,south
49.7,22/8/2003,22,8,2003,nema,south
48.2,19/9/2003,19,9,2003,nema,south
55,29/9/2003,29,9,2003,nema,south
48.3,11/10/03,11,10,2003,nema,south
55.9,16/10/2003,16,10,2003,nema,south
61.9,21/11/2003,21,11,2003,nema,south
48.4,26/11/2003,26,11,2003,nema,south
61.4,18/12/2003,18,12,2003,nema,south
48.1,22/12/2003,22,12,2003,nema,south
212,25/1/2004,25,1,2004,nema,south
134,27/1/2004,27,1,2004,nema,south
226.7,18/2/2004,18,2,2004,nema,south
138.5,19/2/2004,19,2,2004,nema,south
134.5,25/3/2004,25,3,2004,nema,south
229.6,29/3/2004,29,3,2004,nema,south
229.4,26/4/2004,26,4,2004,nema,south
136,27/4/2004,27,4,2004,nema,south
215,29/5/2004,29,5,2004,nema,south
170,30/5/2004,30,5,2004,nema,south
220.5,28/6/2004,28,6,2004,nema,south
137.3,29/6/2004,29,6,2004,nema,south
134.8,12/7/04,12,7,2004,nema,south
218,22/7/2004,22,7,2004,nema,south
205,25/8/2004,25,8,2004,nema,south
132,30/8/2004,30,8,2004,nema,south
206,18/9/2004,18,9,2004,nema,south
133.3,25/9/2004,25,9,2004,nema,south
133.3,8/10/04,8,10,2004,nema,south
215,23/10/2004,23,10,2004,nema,south
135,23/11/2004,23,11,2004,nema,south
213.8,29/11/2004,29,11,2004,nema,south
21.4,15/12/2004,15,12,2004,nema,south
134.7,22/12/2004,22,12,2004,nema,south
212.1,30/12/2004,30,12,2004,nema,south
138.2,18/1/2005,18,1,2005,nema,south
213.6,26/1/2005,26,1,2005,nema,south
135,23/2/2005,23,2,2005,nema,south
211.6,24/2/2005,24,2,2005,nema,south
133.2,11/3/05,11,3,2005,nema,south
63,22/3/2005,22,3,2005,nema,south
214.4,28/3/2005,28,3,2005,nema,south
137,11/4/05,11,4,2005,nema,south
217.9,30/4/2005,30,4,2005,nema,south
134.4,25/5/2005,25,5,2005,nema,south
217,28/5/2005,28,5,2005,nema,south
78.3,20/6/2005,20,6,2005,nema,south
214.3,29/6/2005,29,6,2005,nema,south
72.9,18/7/2005,18,7,2005,nema,south
93.5,25/7/2005,25,7,2005,nema,south
211.6,28/7/2005,28,7,2005,nema,south
213,27/8/2005,27,8,2005,nema,south
65.5,31/8/2005,31,8,2005,nema,south
217.5,27/9/2005,27,9,2005,nema,south
138.1,28/9/2005,28,9,2005,nema,south
211.9,21/10/2005,21,10,2005,nema,south
118.6,27/10/2005,27,10,2005,nema,south
79.8,25/11/2005,25,11,2005,nema,south
230,28/11/2005,28,11,2005,nema,south
137.7,26/12/2005,26,12,2005,nema,south
204.1,28/12/2005,28,12,2005,nema,south
225.3,20/1/2006,20,1,2006,nema,south
136.3,26/1/2006,26,1,2006,nema,south
206.8,17/2/2006,17,2,2006,nema,south
136.3,18/2/2006,18,2,2006,nema,south
61.4,28/3/2006,28,3,2006,nema,south
50,28/3/2006,28,3,2006,nema,south
218,12/4/06,12,4,2006,nema,south
134,25/4/2006,25,4,2006,nema,south
211.8,17/5/2006,17,5,2006,nema,south
55.1,27/5/2006,27,5,2006,nema,south
212.5,14/6/2006,14,6,2006,nema,south
134.2,29/6/2006,29,6,2006,nema,south
48,25/7/2006,25,7,2006,nema,south
62,25/7/2006,25,7,2006,nema,south
145.4,16/8/2006,16,8,2006,nema,south
133.7,25/8/2006,25,8,2006,nema,south
218.1,18/9/2006,18,9,2006,nema,south
135.5,27/9/2006,27,9,2006,nema,south
211.8,9/10/06,9,10,2006,nema,south
100,12/10/06,12,10,2006,nema,south
211.1,16/11/2006,16,11,2006,nema,south
131.4,22/11/2006,22,11,2006,nema,south
81.7,14/12/2006,14,12,2006,nema,south
210.9,19/12/2006,19,12,2006,nema,south
218.8,16/1/2007,16,1,2007,nema,south
100,25/1/2007,25,1,2007,nema,south
133.7,29/1/2007,29,1,2007,nema,south
134.5,15/2/2007,15,2,2007,nema,south
212.5,26/2/2007,26,2,2007,nema,south
214,15/3/2007,15,3,2007,nema,south
134,29/3/2007,29,3,2007,nema,south
213.1,5/4/07,5,4,2007,nema,south
132.4,23/4/2007,23,4,2007,nema,south
213.7,22/5/2007,22,5,2007,nema,south
82.9,24/5/2007,24,5,2007,nema,south
212.5,19/6/2007,19,6,2007,nema,south
46.7,30/6/2007,30,6,2007,nema,south
212,26/7/2007,26,7,2007,nema,south
47.5,31/7/2007,31,7,2007,nema,south
214.5,30/8/2007,30,8,2007,nema,south
138.8,30/8/2007,30,8,2007,nema,south
200,13/9/2007,13,9,2007,nema,south
48.1,26/9/2007,26,9,2007,nema,south
204,25/10/2007,25,10,2007,nema,south
47.1,27/10/2007,27,10,2007,nema,south
213,22/11/2007,22,11,2007,nema,south
47.5,27/11/2007,27,11,2007,nema,south
56,21/12/2007,21,12,2007,nema,south
48.2,22/12/2007,22,12,2007,nema,south
58.1,19/1/2008,19,1,2008,nema,south
48.2,28/1/2008,28,1,2008,nema,south
56.2,20/2/2008,20,2,2008,nema,south
49,23/2/2008,23,2,2008,nema,south
145,6/3/08,6,3,2008,nema,south
49.2,30/3/2008,30,3,2008,nema,south
63.3,29/4/2008,29,4,2008,nema,south
47,30/4/2008,30,4,2008,nema,south
215,23/5/2008,23,5,2008,nema,south
74.7,27/5/2008,27,5,2008,nema,south
216.2,18/6/2008,18,6,2008,nema,south
137,27/6/2008,27,6,2008,nema,south
132,15/7/2008,15,7,2008,nema,south
220.4,28/7/2008,28,7,2008,nema,south
132.9,12/8/08,12,8,2008,nema,south
214.8,26/8/2008,26,8,2008,nema,south
