km,date,day,month,year,group,area
50,30/10/2013,30,10,2013,sulcecli3,north
75,8/11/13,8,11,2013,nortececli3,north
55,13/11/2013,13,11,2013,sulcecli3,north
73,25/11/2013,25,11,2013,nortececli3,north
49,29/11/2013,29,11,2013,sulcecli3,north
79,4/12/13,4,12,2013,nortececli3,north
50,12/12/13,12,12,2013,sulcecli3,north
78,18/12/2013,18,12,2013,nortececli3,north
47,7/5/14,7,5,2014,sulcecli3,north
76,14/5/2014,14,5,2014,nortececli3,north
50,21/5/2014,21,5,2014,sulcecli3,north
80,28/5/2014,28,5,2014,nortececli3,north
47,4/6/14,4,6,2014,sulcecli3,north
81,11/6/14,11,6,2014,nortececli3,north
50,18/6/2014,18,6,2014,sulcecli3,north
80,2/7/14,2,7,2014,nortececli3,north
41,9/7/14,9,7,2014,sulcecli3,north
79,17/7/2014,17,7,2014,nortececli3,north
50,22/7/2014,22,7,2014,sulcecli3,north
82,30/7/2014,30,7,2014,nortececli3,north
49,6/8/14,6,8,2014,sulcecli3,north
54,13/8/2014,13,8,2014,nortececli3,north
34,20/8/2014,20,8,2014,sulcecli3,north
80,27/8/2014,27,8,2014,nortececli3,north
48,3/9/14,3,9,2014,sulcecli3,north
76,10/9/14,10,9,2014,nortececli3,north
47,24/9/2014,24,9,2014,sulcecli3,north
77,7/10/14,7,10,2014,nortececli3,north
47,13/10/2014,13,10,2014,sulcecli3,north
80,24/10/2014,24,10,2014,nortececli3,north
48,30/10/2014,30,10,2014,sulcecli3,north
13,14/11/2014,14,11,2014,nortececli3,north
47,20/11/2014,20,11,2014,sulcecli3,north
78,26/11/2014,26,11,2014,nortececli3,north
52,1/12/14,1,12,2014,sulcecli3,north
80,10/12/14,10,12,2014,nortececli3,north
50,17/12/2014,17,12,2014,sulcecli3,north
82,1/4/15,1,4,2015,nortececli3,north
51,26/3/2015,26,3,2015,sulcecli3,north
81,8/4/15,8,4,2015,nortececli3,north
50,14/4/2015,14,4,2015,sulcecli3,north
80,24/4/2015,24,4,2015,nortececli3,north
50,29/4/2015,29,4,2015,sulcecli3,north
70,6/5/15,6,5,2015,nortececli3,north
51,12/5/15,12,5,2015,sulcecli3,north
83,22/5/2015,22,5,2015,nortececli3,north
49,1/6/15,1,6,2015,sulcecli3,north
81,5/6/15,5,6,2015,nortececli3,north
50,12/6/15,12,6,2015,sulcecli3,north
84,19/6/2015,19,6,2015,nortececli3,north
50,26/6/2015,26,6,2015,sulcecli3,north
76,3/7/15,3,7,2015,nortececli3,north
49,10/7/15,10,7,2015,sulcecli3,north
78,31/7/2015,31,7,2015,nortececli3,north
51,6/8/15,6,8,2015,sulcecli3,north
80,13/8/2015,13,8,2015,nortececli3,north
50,21/8/2015,21,8,2015,sulcecli3,north
76,28/8/2015,28,8,2015,nortececli3,north
51,1/10/15,1,10,2015,sulcecli3,north
81,29/10/2015,29,10,2015,nortececli3,north
49,18/11/2015,18,11,2015,sulcecli3,north
80,9/12/15,9,12,2015,nortececli3,north
50,14/12/2015,14,12,2015,sulcecli3,north
76,24/3/2016,24,3,2016,nortececli3,north
50,31/3/2016,31,3,2016,sulcecli3,north
81,7/4/16,7,4,2016,nortececli3,north
52,15/4/2016,15,4,2016,sulcecli3,north
83,20/4/2016,20,4,2016,nortececli3,north
50,5/5/16,5,5,2016,sulcecli3,north
81,12/5/16,12,5,2016,nortececli3,north
49,20/5/2016,20,5,2016,sulcecli3,north
77,27/5/2016,27,5,2016,nortececli3,north
52,2/6/16,2,6,2016,sulcecli3,north
85,16/6/2016,16,6,2016,nortececli3,north
50,23/6/2016,23,6,2016,sulcecli3,north
89,1/7/16,1,7,2016,nortececli3,north
53,7/7/16,7,7,2016,sulcecli3,north
82,13/7/2016,13,7,2016,nortececli3,north
51,21/7/2016,21,7,2016,sulcecli3,north
80,3/8/16,3,8,2016,nortececli3,north
49,12/8/16,12,8,2016,sulcecli3,north
81,25/8/2016,25,8,2016,nortececli3,north
51,1/9/16,1,9,2016,sulcecli3,north
87,9/9/16,9,9,2016,nortececli3,north
50,16/9/2016,16,9,2016,sulcecli3,north
82,22/9/2016,22,9,2016,nortececli3,north
51,28/9/2016,28,9,2016,sulcecli3,north
82,5/10/16,5,10,2016,nortececli3,north
53,14/10/2016,14,10,2016,sulcecli3,north
83,21/10/2016,21,10,2016,nortececli3,north
52,31/10/2016,31,10,2016,sulcecli3,north
80,11/11/16,11,11,2016,nortececli3,north
51,18/11/2016,18,11,2016,sulcecli3,north
84,25/11/2016,25,11,2016,nortececli3,north
51,6/12/16,6,12,2016,sulcecli3,north
80,9/12/16,9,12,2016,nortececli3,north
51,16/12/2016,16,12,2016,sulcecli3,north
79,21/12/2016,21,12,2016,nortececli3,north
53,3/1/17,3,1,2017,sulcecli3,north
80,12/1/17,12,1,2017,nortececli3,north
53,18/1/2017,18,1,2017,sulcecli3,north
84,26/1/2017,26,1,2017,nortececli3,north
52,3/2/17,3,2,2017,sulcecli3,north
83,9/2/17,9,2,2017,nortececli3,north
52,16/2/2017,16,2,2017,sulcecli3,north
76,23/2/2017,23,2,2017,nortececli3,north
53,3/3/17,3,3,2017,sulcecli3,north
78,8/3/17,8,3,2017,nortececli3,north
54,15/3/2017,15,3,2017,sulcecli3,north
88,23/3/2017,23,3,2017,nortececli3,north
56,30/3/2017,30,3,2017,sulcecli3,north
83,7/4/17,7,4,2017,nortececli3,north
58,11/4/17,11,4,2017,sulcecli3,north
81,20/4/2017,20,4,2017,nortececli3,north
40,27/4/2017,27,4,2017,sulcecli3,north
81,4/5/17,4,5,2017,nortececli3,north
52,9/5/17,9,5,2017,sulcecli3,north
79,18/5/2017,18,5,2017,nortececli3,north
59,24/5/2017,24,5,2017,sulcecli3,north
83,2/6/17,2,6,2017,nortececli3,north
58,7/6/17,7,6,2017,sulcecli3,north
84,14/6/2017,14,6,2017,nortececli3,north
54,22/6/2017,22,6,2017,sulcecli3,north
82,29/6/2017,29,6,2017,nortececli3,north
55,6/7/17,6,7,2017,sulcecli3,north
84,13/7/2017,13,7,2017,nortececli3,north
55,20/7/2017,20,7,2017,sulcecli3,north
82,27/7/2017,27,7,2017,nortececli3,north
56,2/8/17,2,8,2017,sulcecli3,north
88,7/8/17,7,8,2017,nortececli3,north
52,18/8/2017,18,8,2017,sulcecli3,north
89,28/8/2017,28,8,2017,nortececli3,north
54,31/8/2017,31,8,2017,sulcecli3,north
82,8/9/17,8,9,2017,nortececli3,north
53,14/9/2017,14,9,2017,sulcecli3,north
85,21/9/2017,21,9,2017,nortececli3,north
46,27/9/2017,27,9,2017,sulcecli3,north
86,5/10/17,5,10,2017,nortececli3,north
57,16/10/2017,16,10,2017,sulcecli3,north
83,25/10/2017,25,10,2017,nortececli3,north
53,1/11/17,1,11,2017,sulcecli3,north
83,7/11/17,7,11,2017,nortececli3,north
55,16/11/2017,16,11,2017,sulcecli3,north
55,23/11/2017,23,11,2017,nortececli3,north
34,24/11/2017,24,11,2017,nortececli3,north
52,30/11/2017,30,11,2017,sulcecli3,north
80,6/12/17,6,12,2017,nortececli3,north
41,13/12/2017,13,12,2017,sulcecli3,north
85,21/12/2017,21,12,2017,nortececli3,north
52,6/1/18,6,1,2018,sulcecli3,north
85,11/1/18,11,1,2018,nortececli3,north
53,17/1/2018,17,1,2018,sulcecli3,north
87,25/1/2018,25,1,2018,nortececli3,north
53,31/1/2018,31,1,2018,sulcecli3,north
83,8/2/18,8,2,2018,nortececli3,north
52,15/2/2018,15,2,2018,sulcecli3,north
87,23/2/2018,23,2,2018,nortececli3,north
53,1/3/18,1,3,2018,sulcecli3,north
82,8/3/18,8,3,2018,nortececli3,north
52,14/3/2018,14,3,2018,sulcecli3,north
83,22/3/2018,22,3,2018,nortececli3,north
52,29/3/2018,29,3,2018,sulcecli3,north
42,8/10/91,8,10,1991,ge3s,north
90,29/10/1991,29,10,1991,ge3s,north
19,9/11/91,9,11,1991,ge3s,north
10.6,17/11/1991,17,11,1991,ge3s,north
66,15/12/1991,15,12,1991,ge3s,north
29.6,28/12/1991,28,12,1991,ge3s,north
68.6,31/12/1991,31,12,1991,ge3s,north
55.9,1/1/92,1,1,1992,ge3s,north
109.2,8/2/92,8,2,1992,ge3s,north
17.4,15/3/1992,15,3,1992,ge3s,north
115,1/4/92,1,4,1992,ge3s,north
104,11/4/92,11,4,1992,ge3s,north
150,16/5/1992,16,5,1992,ge3s,north
30,17/5/1992,17,5,1992,ge3s,north
162.6,20/6/1992,20,6,1992,ge3s,north
81.5,21/6/1992,21,6,1992,ge3s,north
61.6,11/10/92,11,10,1992,ge3s,north
114,24/10/1992,24,10,1992,ge3s,north
123.7,5/12/92,5,12,1992,ge3s,north
158.8,3/3/93,3,3,1993,ge3s,north
175,24/4/1993,24,4,1993,ge3s,north
101.4,16/8/1993,16,8,1993,ge3s,north
86,3/9/93,3,9,1993,ge3s,north
116.3,7/9/93,7,9,1993,ge3s,north
25.3,26/9/1993,26,9,1993,ge3s,north
162.6,16/10/1993,16,10,1993,ge3s,north
81.5,17/10/1993,17,10,1993,ge3s,north
81.5,6/11/93,6,11,1993,ge3s,north
147.6,19/12/1993,19,12,1993,ge3s,north
162.6,5/1/94,5,1,1994,ge3s,north
162.6,25/2/1994,25,2,1994,ge3s,north
162.6,26/3/1994,26,3,1994,ge3s,north
81.5,27/3/1994,27,3,1994,ge3s,north
162.6,16/4/1994,16,4,1994,ge3s,north
81.5,17/4/1994,17,4,1994,ge3s,north
162.6,21/5/1994,21,5,1994,ge3s,north
81.5,22/5/1994,22,5,1994,ge3s,north
88.8,18/6/1994,18,6,1994,ge3s,north
132.6,6/8/94,6,8,1994,ge3s,north
110.5,8/8/94,8,8,1994,ge3s,north
162.6,10/9/94,10,9,1994,ge3s,north
81.5,11/9/94,11,9,1994,ge3s,north
180,30/10/1994,30,10,1994,ge3s,north
180,19/11/1994,19,11,1994,ge3s,north
81.5,20/11/1994,20,11,1994,ge3s,north
180,20/12/1994,20,12,1994,ge3s,north
81.5,21/12/1994,21,12,1994,ge3s,north
140,26/1/1995,26,1,1995,ge3s,north
188,/3/1995,,3,1995,ge3s,north
83,/4/1995,,4,1995,ge3s,north
168,1/5/95,1,5,1995,ge3s,north
20,24/6/1995,24,6,1995,ge3s,north
127.6,19/8/1995,19,8,1995,ge3s,north
143.4,20/8/1995,20,8,1995,ge3s,north
188,7/9/95,7,9,1995,ge3s,north
147.4,28/10/1995,28,10,1995,ge3s,north
83,29/10/1995,29,10,1995,ge3s,north
42.4,11/11/95,11,11,1995,ge3s,north
188,12/11/95,12,11,1995,ge3s,north
188,17/12/1995,17,12,1995,ge3s,north
83,4/1/96,4,1,1996,ge3s,north
188,5/1/96,5,1,1996,ge3s,north
188,29/2/1996,29,2,1996,ge3s,north
188,31/3/1996,31,3,1996,ge3s,north
83,13/7/1996,13,7,1996,ge3s,north
147.4,28/7/1996,28,7,1996,ge3s,north
63,3/8/96,3,8,1996,ge3s,north
31.7,5/9/96,5,9,1996,ge3s,north
147.4,6/9/96,6,9,1996,ge3s,north
83,7/9/96,7,9,1996,ge3s,north
188,23/11/1996,23,11,1996,ge3s,north
188,27/12/1996,27,12,1996,ge3s,north
188,28/1/1997,28,1,1997,ge3s,north
83,15/3/1997,15,3,1997,ge3s,north
162.6,18/3/1997,18,3,1997,ge3s,north
188,19/4/1997,19,4,1997,ge3s,north
188,31/5/1997,31,5,1997,ge3s,north
237,30/7/1997,30,7,1997,ge3s,north
118,18/8/1997,18,8,1997,ge3s,north
188,19/8/1997,19,8,1997,ge3s,north
188,6/9/97,6,9,1997,ge3s,north
83,7/9/97,7,9,1997,ge3s,north
188,20/9/1997,20,9,1997,ge3s,north
135,21/9/1997,21,9,1997,ge3s,north
83,3/10/97,3,10,1997,ge3s,north
169,4/10/97,4,10,1997,ge3s,north
188,25/10/1997,25,10,1997,ge3s,north
83,26/10/1997,26,10,1997,ge3s,north
83,31/10/1997,31,10,1997,ge3s,north
131,1/11/97,1,11,1997,ge3s,north
31.7,10/11/97,10,11,1997,ge3s,north
147.4,11/11/97,11,11,1997,ge3s,north
83,6/12/97,6,12,1997,ge3s,north
188,7/12/97,7,12,1997,ge3s,north
188,22/12/1997,22,12,1997,ge3s,north
188,20/1/1998,20,1,1998,ge3s,north
88,21/1/1998,21,1,1998,ge3s,north
188,7/3/98,7,3,1998,ge3s,north
88,3/4/98,3,4,1998,ge3s,north
188,4/4/98,4,4,1998,ge3s,north
88,11/5/98,11,5,1998,ge3s,north
84,12/5/98,12,5,1998,ge3s,north
88,4/6/98,4,6,1998,ge3s,north
188,5/6/98,5,6,1998,ge3s,north
88,8/7/98,8,7,1998,ge3s,north
183,9/7/98,9,7,1998,ge3s,north
88,4/8/98,4,8,1998,ge3s,north
93,5/8/98,5,8,1998,ge3s,north
88,29/9/1998,29,9,1998,ge3s,north
31.7,30/9/1998,30,9,1998,ge3s,north
31.7,29/12/1998,29,12,1998,ge3s,north
136,30/12/1998,30,12,1998,ge3s,north
31.7,29/1/1999,29,1,1999,ge3s,north
116,30/1/1999,30,1,1999,ge3s,north
88,5/7/99,5,7,1999,ge3s,north
138,6/7/99,6,7,1999,ge3s,north
159,28/1/2000,28,1,2000,ge3s,north
197,29/2/2000,29,2,2000,ge3s,north
198,31/3/2000,31,3,2000,ge3s,north
88,15/4/2000,15,4,2000,ge3s,north
145,16/4/2000,16,4,2000,ge3s,north
79,10/6/00,10,6,2000,ge3s,north
141,11/6/00,11,6,2000,ge3s,north
80,8/7/00,8,7,2000,ge3s,north
129,9/7/00,9,7,2000,ge3s,north
85,26/8/2000,26,8,2000,ge3s,north
100,27/8/2000,27,8,2000,ge3s,north
76,26/10/2000,26,10,2000,ge3s,north
142,28/12/2000,28,12,2000,ge3s,north
187,24/1/2001,24,1,2001,ge3s,north
36,28/4/2001,28,4,2001,ge3s,north
102,29/4/2001,29,4,2001,ge3s,north
40,19/5/2001,19,5,2001,ge3s,north
154,20/5/2001,20,5,2001,ge3s,north
44,26/5/2001,26,5,2001,ge3s,north
156,27/5/2001,27,5,2001,ge3s,north
56.6,13/8/2001,13,8,2001,ge3s,north
177,28/2/2002,28,2,2002,ge3s,north
187,16/3/2002,16,3,2002,ge3s,north
78,26/4/2002,26,4,2002,ge3s,north
85,17/5/2002,17,5,2002,ge3s,north
204,18/5/2002,18,5,2002,ge3s,north
51,27/7/2002,27,7,2002,ge3s,north
94,27/7/2002,27,7,2002,ge3s,north
89,17/8/2002,17,8,2002,ge3s,north
96,18/8/2002,18,8,2002,ge3s,north
176,28/9/2002,28,9,2002,ge3s,north
79,29/9/2002,29,9,2002,ge3s,north
164,20/12/2002,20,12,2002,ge3s,north
167,22/1/2003,22,1,2003,ge3s,north
146,25/2/2003,25,2,2003,ge3s,north
164,10/4/03,10,4,2003,ge3s,north
80,10/4/03,10,4,2003,ge3s,north
79,14/5/2003,14,5,2003,ge3s,north
180,15/5/2003,15,5,2003,ge3s,north
164,24/6/2003,24,6,2003,ge3s,north
37,25/6/2003,25,6,2003,ge3s,north
120,29/7/2003,29,7,2003,ge3s,north
85,9/8/03,9,8,2003,ge3s,north
171,29/8/2003,29,8,2003,ge3s,north
192,19/9/2003,19,9,2003,ge3s,north
83,2/10/03,2,10,2003,ge3s,north
33,28/10/2003,28,10,2003,ge3s,north
20,29/10/2003,29,10,2003,ge3s,north
101,6/11/03,6,11,2003,ge3s,north
44,7/11/03,7,11,2003,ge3s,north
153,16/12/2003,16,12,2003,ge3s,north
103,6/4/04,6,4,2004,ge3s,north
149,23/6/2004,23,6,2004,ge3s,north
147,29/11/2004,29,11,2004,ge3s,north
181,13/12/2004,13,12,2004,ge3s,north
33,23/4/2005,23,4,2005,ge3s,north
136,24/4/2005,24,4,2005,ge3s,north
157,27/7/2005,27,7,2005,ge3s,north
81,28/7/2005,28,7,2005,ge3s,north
9,2/11/05,2,11,2005,ge3s,north
90,3/11/05,3,11,2005,ge3s,north
41,22/10/2009,22,10,2009,ge3s,north
78,23/10/2009,23,10,2009,ge3s,north
50,26/10/2009,26,10,2009,ge3s,north
52,23/11/2009,23,11,2009,ge3s,north
83,25/11/2009,25,11,2009,ge3s,north
138,18/1/2010,18,1,2010,ge3s,north
15,19/1/2010,19,1,2010,ge3s,north
128,9/2/10,9,2,2010,ge3s,north
79,21/4/2010,21,4,2010,ge3s,north
14,22/4/2010,22,4,2010,ge3s,north
68,26/5/2010,26,5,2010,ge3s,north
26,27/5/2010,27,5,2010,ge3s,north
82,20/8/2010,20,8,2010,ge3s,north
89,24/9/2010,24,9,2010,ge3s,north
83,27/11/2010,27,11,2010,ge3s,north
70,21/12/2010,21,12,2010,ge3s,north
88,25/2/2011,25,2,2011,ge3s,north
48,28/3/2011,28,3,2011,ge3s,north
16,28/3/2011,28,3,2011,ge3s,north
8,28/3/2011,28,3,2011,ge3s,north
96,29/3/2011,29,3,2011,ge3s,north
86,26/4/2011,26,4,2011,ge3s,north
14,27/4/2011,27,4,2011,ge3s,north
60,27/4/2011,27,4,2011,ge3s,north
125,30/5/2011,30,5,2011,ge3s,north
38,31/5/2011,31,5,2011,ge3s,north
88,5/7/11,5,7,2011,ge3s,north
176,6/7/11,6,7,2011,ge3s,north
92,19/8/2011,19,8,2011,ge3s,north
77,25/11/2011,25,11,2011,ge3s,north
