,sst,year,month
233,16.82999962,2001,5
234,16.19999964,2001,6
235,14.89999967,2001,7
236,15.27999966,2001,8
237,15.51999965,2001,9
238,16.85999962,2001,10
239,18.26999959,2001,11
240,19.20999957,2001,12
241,21.72999951,2002,1
242,21.69999951,2002,2
243,22.1999995,2002,3
244,20.13999955,2002,4
245,17.7999996,2002,5
246,16.14999964,2002,6
247,14.04999969,2002,7
248,14.00999969,2002,8
249,14.25999968,2002,9
250,16.67999963,2002,10
251,17.9799996,2002,11
252,20.20999955,2002,12
253,21.44999952,2003,1
254,21.73999951,2003,2
255,21.42999952,2003,3
256,19.02999957,2003,4
257,16.93999962,2003,5
258,15.51999965,2003,6
259,14.51999968,2003,7
260,13.71999969,2003,8
261,13.70999969,2003,9
262,16.10999964,2003,10
263,18.0499996,2003,11
264,19.05999957,2003,12
265,20.67999954,2004,1
266,21.63999952,2004,2
267,21.56999952,2004,3
268,20.38999954,2004,4
269,17.47999961,2004,5
270,15.66999965,2004,6
271,14.67999967,2004,7
272,14.98999966,2004,8
273,15.51999965,2004,9
274,16.60999963,2004,10
275,17.8099996,2004,11
276,19.61999956,2004,12
277,21.46999952,2005,1
278,21.71999951,2005,2
279,21.82999951,2005,3
280,19.35999957,2005,4
281,18.0999996,2005,5
282,17.01999962,2005,6
283,15.13999966,2005,7
284,15.00999966,2005,8
285,14.75999967,2005,9
286,16.14999964,2005,10
287,17.7799996,2005,11
288,19.78999956,2005,12
289,21.51999952,2006,1
290,22.5099995,2006,2
291,21.50999952,2006,3
292,19.40999957,2006,4
293,17.02999962,2006,5
294,15.91999964,2006,6
295,15.55999965,2006,7
296,14.89999967,2006,8
297,14.65999967,2006,9
298,16.83999962,2006,10
299,18.0699996,2006,11
300,20.27999955,2006,12
301,22.3799995,2007,1
302,22.5799995,2007,2
303,21.56999952,2007,3
304,20.78999954,2007,4
305,18.0299996,2007,5
306,14.41999968,2007,6
307,12.87999971,2007,7
308,12.25999973,2007,8
309,13.92999969,2007,9
310,15.84999965,2007,10
311,17.6799996,2007,11
312,19.75999956,2007,12
313,21.62999952,2008,1
314,21.83999951,2008,2
315,21.41999952,2008,3
316,18.76999958,2008,4
317,16.97999962,2008,5
318,15.38999966,2008,6
319,14.65999967,2008,7
320,14.20999968,2008,8
321,14.43999968,2008,9
322,16.04999964,2008,10
323,18.31999959,2008,11
324,20.46999954,2008,12
325,21.31999952,2009,1
326,21.45999952,2009,2
327,20.98999953,2009,3
328,19.72999956,2009,4
329,18.0599996,2009,5
330,15.63999965,2009,6
331,14.16999968,2009,7
332,13.4499997,2009,8
333,14.76999967,2009,9
334,15.76999965,2009,10
335,18.0199996,2009,11
336,19.74999956,2009,12
337,21.58999952,2010,1
338,22.59999949,2010,2
339,21.71999951,2010,3
340,20.10999955,2010,4
341,17.7799996,2010,5
342,16.02999964,2010,6
343,14.64999967,2010,7
344,13.3899997,2010,8
345,14.39999968,2010,9
346,16.14999964,2010,10
347,17.7099996,2010,11
348,19.41999957,2010,12
349,21.63999952,2011,1
350,21.88999951,2011,2
351,21.01999953,2011,3
352,19.18999957,2011,4
353,17.44999961,2011,5
354,16.10999964,2011,6
355,13.75999969,2011,7
356,13.3599997,2011,8
357,14.11999968,2011,9
358,15.96999964,2011,10
359,17.7299996,2011,11
360,20.03999955,2011,12
361,21.69999951,2012,1
362,22.01999951,2012,2
363,21.45999952,2012,3
364,19.65999956,2012,4
365,18.0899996,2012,5
366,16.57999963,2012,6
367,14.46999968,2012,7
368,14.17999968,2012,8
369,15.62999965,2012,9
370,16.29999964,2012,10
371,18.53999959,2012,11
372,20.52999954,2012,12
373,21.70999951,2013,1
374,22.60999949,2013,2
375,20.39999954,2013,3
376,19.13999957,2013,4
377,17.46999961,2013,5
378,15.01999966,2013,6
379,14.06999969,2013,7
380,13.3399997,2013,8
381,13.96999969,2013,9
382,15.59999965,2013,10
383,17.9199996,2013,11
384,20.09999955,2013,12
385,22.2299995,2014,1
386,22.5099995,2014,2
387,20.64999954,2014,3
388,19.44999957,2014,4
389,17.58999961,2014,5
390,15.84999965,2014,6
391,14.75999967,2014,7
392,14.48999968,2014,8
393,15.26999966,2014,9
394,17.01999962,2014,10
395,18.56999958,2014,11
396,20.13999955,2014,12
397,22.02999951,2015,1
398,22.2499995,2015,2
399,22.08999951,2015,3
400,20.78999954,2015,4
401,18.57999958,2015,5
402,16.83999962,2015,6
403,15.22999966,2015,7
404,15.76999965,2015,8
405,15.91999964,2015,9
406,16.63999963,2015,10
407,18.0599996,2015,11
408,19.72999956,2015,12
409,22.4899995,2016,1
410,22.76999949,2016,2
411,21.77999951,2016,3
412,20.02999955,2016,4
413,17.28999961,2016,5
414,14.27999968,2016,6
415,13.3299997,2016,7
416,13.67999969,2016,8
417,14.34999968,2016,9
418,15.94999964,2016,10
419,18.0599996,2016,11
420,20.50999954,2016,12
421,22.05999951,2017,1
422,22.93999949,2017,2
423,22.01999951,2017,3
424,20.18999955,2017,4
425,18.14999959,2017,5
426,16.51999963,2017,6
427,15.05999966,2017,7
428,15.13999966,2017,8
429,15.79999965,2017,9
430,16.51999963,2017,10
431,17.8499996,2017,11
432,19.47999956,2017,12
433,21.70999951,2018,1
434,21.73999951,2018,2
435,21.19999953,2018,3
436,20.31999955,2018,4
437,18.56999958,2018,5
438,14.93999967,2018,6
439,13.70999969,2018,7
