"","day","month","year","w10"
"162",11,6,1991,0.127777779241667
"163",12,6,1991,0.0370370383999999
"164",13,6,1991,0.0740740753999999
"165",14,6,1991,-0.303703702
"166",15,6,1991,-1.21481481356667
"167",16,6,1991,-1.1037037024
"168",17,6,1991,-1.33037036917333
"169",18,6,1991,-0.176666666623333
"170",19,6,1991,-2.83518518668333
"171",20,6,1991,-4.50000000253333
"172",21,6,1991,-5.0092592618
"173",22,6,1991,-4.55185185425
"174",23,6,1991,-5.3518518542
"175",24,6,1991,-5.04444444658333
"176",25,6,1991,-4.82222222425
"177",26,6,1991,-4.50740740925
"178",27,6,1991,-4.37777777991667
"179",28,6,1991,-4.03888889153333
"180",29,6,1991,-5.02407407615
"181",30,6,1991,-1.8203703712
"182",1,7,1991,0.394444444625
"183",2,7,1991,0.561481481631667
"184",3,7,1991,0.00592592619833325
"185",4,7,1991,-0.375555554485
"186",5,7,1991,-0.664444443435
"187",6,7,1991,-0.886666665768333
"188",7,7,1991,-0.845925925035
"189",8,7,1991,-0.971851850835
"190",9,7,1991,-0.903333331885
"191",10,7,1991,-0.273703702468333
"192",11,7,1991,-1.10888888740167
"193",12,7,1991,-2.19592592522667
"194",13,7,1991,-2.48148148081667
"195",14,7,1991,-2.48888888855
"196",15,7,1991,-1.3333333338
"197",16,7,1991,-1.08148148201667
"198",17,7,1991,-0.6629629634
"199",18,7,1991,0.0555555548833333
"200",19,7,1991,-0.401851852483333
"201",20,7,1991,0.227777777516667
"202",21,7,1991,0.5166666668
"203",22,7,1991,1.52222222168333
"204",23,7,1991,1.23518518543333
"205",24,7,1991,1.30185185185
"206",25,7,1991,1.62222222241667
"207",26,7,1991,1.4185185185
"208",27,7,1991,1.62592592561667
"209",28,7,1991,1.651851851
"210",29,7,1991,1.28518518401667
"211",30,7,1991,1.80185185058333
"212",31,7,1991,1.18703703521667
"213",1,8,1991,0.7981481452
"214",2,8,1991,0.0370370341833335
"215",3,8,1991,1.10740740425
"216",4,8,1991,1.57592592298333
"217",5,8,1991,1.5092592562
"218",6,8,1991,1.53518518216667
"219",7,8,1991,1.2944444419
"220",8,8,1991,0.979629627566667
"221",9,8,1991,1.5055555544
"222",10,8,1991,-1.01296296445
"223",11,8,1991,-1.43888889011667
"224",12,8,1991,-1.43148148171667
"225",13,8,1991,-1.1370370369
"226",14,8,1991,-0.933333333316667
"227",15,8,1991,0.103703702683333
